,REFPOP,CAPSTR2,NORMCAPU,CAPSTR4,VOLUMREPD,SENSOFAP,PERFSLOP,DESIRMK2
31,60130.8059573348,1.44610235971155,0.668303483838215,2.04156617720029,0.150706265750341,-11.8387433704827,0.0252667116663878,0.41558364541732
85,35808.1897099037,1.66228337425921,0.966377683051396,0.594356662072742,0.145329054129252,-8.68852316296659,0.020550047843644,0.369346688706987
139,63597.9378754564,1.3227720733768,0.759979674693663,1.65617878538667,0.169477927859916,-5.74698719116859,0.0213769444193459,0.492176971830043
193,43053.1125580892,0.883996237022558,0.771701133900788,1.94460168589422,0.0628467326109967,-9.26257128969766,0.0217666500915648,0.401835682389024
247,81516.0363024042,1.57046856187541,0.886118537405971,1.33405890271694,0.148774403568605,-10.4990862472821,0.0359962586512955,0.419175832809915
301,44908.8310818479,0.819517981017393,0.715369915807154,1.63265512323693,0.138117155743821,-5.65680630169809,0.0301509367377371,0.358660976037499
355,47191.3604301226,1.58580638928409,0.797002968123648,0.621785401608236,0.140108093430899,-10.1456937977206,0.0290580306018332,0.409723079030402
409,47615.2140276099,0.924867096220411,0.780274611174595,2.27571830152525,0.237587693407404,-6.79801983459853,0.0329178131578037,0.3021646619907
463,27934.6730300749,0.674294632049778,0.932807774926536,1.21651597671913,0.181988279155776,-6.15507724490017,0.0320349351959488,0.381007767788437
517,52472.4632728612,2.17179897752444,0.945514338945504,1.87640526874228,0.174934755601862,-4.14730297570117,0.0344950421676889,0.304232363074715
571,76964.8575914325,1.00818181210886,0.97880565635534,2.06859807645555,0.108852037063261,-10.8584641257301,0.0241288806061419,0.445652552998648
625,93878.5780062608,2.42509090391241,0.814055449889507,0.933626271315117,0.0784887981085194,-9.28330576533452,0.0292446425682346,0.530345437583933
679,58694.8679360212,1.83880803581742,0.7542714448357,0.806472441768018,0.102552872774177,-11.3436972991377,0.0193877054462242,0.346498675421684
733,98601.7992353009,1.17329946941768,0.750856519665103,1.70108275471033,0.0977721310729976,-4.69723043959588,0.0357272787797252,0.56067125370024
787,60407.1854936774,2.0300871560632,0.620875307967421,1.64166091983228,0.169077006136868,-11.4212371809781,0.0351502285877659,0.437258513344382
841,50399.5388781768,2.12013837466065,0.625166707102209,1.59339729189823,0.0779220221252763,-10.100065086009,0.0203478606140146,0.368095501291356
895,55320.1173183334,1.37604561225555,0.800896943412721,1.67759300937342,0.216012063309536,-6.92377518385649,0.0236173960465538,0.463213133496046
