Authors,Link	
Shortridge J., Aven T., Guikema S.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994745056&partnerID=40&md5=64023d71ea668e479a674d89e4cb7521
Noor M.H.M., Salcic Z., Wang K.I.-K.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994779131&partnerID=40&md5=1b669a6ac6050d9b904d02e0005d6578
Kwakkel J.H., Haasnoot M., Walker W.E.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991486853&partnerID=40&md5=26fc79946a7d3716de0496f9626f2cc7
Forni L.G., Galaitsi S.E., Mehta V.K., Escobar M.I., Purkey D.R., Depsky N.J., Lima N.A.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992371589&partnerID=40&md5=029b232a0826b001b8f3907d86f16af8
Leonetti M., Iocchi L., Stone P.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988493689&partnerID=40&md5=d9a681ca374e627ae1650ec861934c6f
Kim Y.-J.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988928468&partnerID=40&md5=ee7ae8588d934c7ca3066abb97a8584b
Carrasco C., Keeney L., Scott M., Napier-Munn T.J.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991712842&partnerID=40&md5=954fb67088f187ca86bc10602da051d2
Mahmoud Zadeh S., Powers D.M.W., Sammut K., Yazdani A.M.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995745554&partnerID=40&md5=6454fd3bb9b807f3e218477019a202f9
Shortridge J., Guikema S., Zaitchik B.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994275147&partnerID=40&md5=885bce95bcdd4e7f6e4ef795867c10ce
de Haan F.J., Rogers B.C., Brown R.R., Deletic A.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985990145&partnerID=40&md5=c0117416dcb16b1ad351bb5239b4249e
Ji X., Niu Y., Shen L.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994759269&partnerID=40&md5=14c5c164ac7e35f7db185dc16c78e442
Auping W.L., Pruyt E., de Jong S., Kwakkel J.H.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986880428&partnerID=40&md5=b83ca3f0823788083a0ae4921da30bf7
Herman J.D., Zeff H.B., Lamontagne J.R., Reed P.M., Characklis G.W.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994474392&partnerID=40&md5=1b0db52b0a87d1cbb71026b1a592a896
Kwakkel J.H., Cunningham S.C.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978394264&partnerID=40&md5=a05924dada4918d240c774a3d2b54fea
Carlsen H., Lempert R., Wikman-Svahn P., Schweizer V.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979085712&partnerID=40&md5=d3e424c2afa328a6cc6c5f7706253af8
Broderick C., Matthews T., Wilby R.L., Bastola S., Murphy C.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995948067&partnerID=40&md5=6b9a3167f83f8b794b8803963df2ffef
Chattopadhyay D., Spyrou E., Mukhi N., Bazilian M., Vogt-Schilb A.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988723564&partnerID=40&md5=51a965218f49bcaaeea51e396f9895e7
Nahmmacher P., Schmid E., Pahle M., Knopf B.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988514062&partnerID=40&md5=b0b6fe3253beb5a1dd6120c083c86e46
Jiang L., Wang J., Shah N., Cai H., Huang C., Farmer R.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951777028&partnerID=40&md5=58165820f1b77b275c931bd2d92afff0
Larsen L.G., Eppinga M.B., Passalacqua P., Getz W.M., Rose K.A., Liang M.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978252830&partnerID=40&md5=4b72d65f2e9db5a8dc6192fa7da7ce68
Hong X., Guo S., Wang L., Yang G., Liu D., Guo H., Wang J.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991094139&partnerID=40&md5=76fce25f7c6d2726fc90d4490dbb27ff
Halim R.A., Kwakkel J.H., Tavasszy L.A.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950970778&partnerID=40&md5=d82473b5bb3e003cc4c1169e3e1dad30
Zhang Y., D’Argenio D.Z.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978139041&partnerID=40&md5=04912f04005c135b2429e25c3613c1db
Forrest S., Mitchell M.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979939227&partnerID=40&md5=76c3f6ef62677e9d995ac3d263e503f3
Velazquez Abad A., Cherrett T., Waterson B.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978717702&partnerID=40&md5=995ed5931a08c585e860d41330c42d11
Huiban M., Coello C., Wu K., Xu Y., Lewis Y., Brown A.P., Buraglio M., Guan C., Shabbir S., Fong R., Passchier J., Rabiner E.A., Lockhart A.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978062297&partnerID=40&md5=42b154f6d6c6d2f383c64be327b6f6f9
Sniedovich M.,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954289299&partnerID=40&md5=e3360f16e7bdee175c8b4046faf43dfb
