"";"Tempo";"Populacao";"Nascimentos";"Mortes";"TaxaNascimento";"TaxaMorte";"Replicacao"
"1";2015;10000;394,100519080493;197,920924179791;0,0394100519080493;0,0197920924179791;1
"2";2015,25;10049,0448987252;396,033381085077;198,891625347991;0,0394100519080493;0,0197920924179791;1
"3";2015,5;10098,3303376594;397,975722791788;199,867087310238;0,0394100519080493;0,0197920924179791;1
"4";2015,75;10147,8574965298;399,927590693728;200,847333415801;0,0394100519080493;0,0197920924179791;1
"5";2016;10197,6275608493;401,889031512025;201,832387128461;0,0394100519080493;0,0197920924179791;1
"6";2016,25;10247,6417219452;403,860092196952;202,822272027079;0,0394100519080493;0,0197920924179791;1
"7";2016,5;10297,9011769877;405,840819929046;203,817011806156;0,0394100519080493;0,0197920924179791;1
"8";2016,75;10348,4071290184;407,831262120242;204,816630276406;0,0394100519080493;0,0197920924179791;1
"9";2017;10399,1607869794;409,831466415007;205,82115136532;0,0394100519080493;0,0197920924179791;1
"10";2017,25;10450,1633657418;411,841480691478;206,830599117741;0,0394100519080493;0,0197920924179791;1
"11";2017,5;10501,4160861352;413,861353062612;207,844997696441;0,0394100519080493;0,0197920924179791;1
"12";2017,75;10552,9201749768;415,891131877334;208,864371382697;0,0394100519080493;0,0197920924179791;1
"13";2018;10604,6768651004;417,930865721697;209,888744576873;0,0394100519080493;0,0197920924179791;1
"14";2018,25;10656,6873953866;419,980603420041;210,918141799006;0,0394100519080493;0,0197920924179791;1
"15";2018,5;10708,9530107919;422,040394036168;211,952587689389;0,0394100519080493;0,0197920924179791;1
"16";2018,75;10761,4749623786;424,110286874512;212,992107009165;0,0394100519080493;0,0197920924179791;1
"17";2019;10814,2545073449;426,190331481319;214,036724640918;0,0394100519080493;0,0197920924179791;1
"18";2019,25;10867,292909055;428,280577645834;215,086465589266;0,0394100519080493;0,0197920924179791;1
"19";2019,5;10920,5914370692;430,381075401494;216,141354981464;0,0394100519080493;0,0197920924179791;1
"20";2019,75;10974,1513671742;432,491875027124;217,201418068003;0,0394100519080493;0,0197920924179791;1
"21";2020;11027,9739814139;434,61302704814;218,266680223214;0,0394100519080493;0,0197920924179791;1
